-1.1288e-01,0.0002
-1.1286e-01,-0.0002
-1.1284e-01,0.0004
-1.1282e-01,-0.0002
-1.1280e-01,0.001
-1.1278e-01,0
-1.1276e-01,0.0002
-1.1274e-01,0.0004
-1.1272e-01,-0.0004
-1.1270e-01,0.0006
-1.1268e-01,0.0002
-1.1266e-01,0.0004
-1.1264e-01,0.0004
-1.1262e-01,0.0002
-1.1260e-01,0.0008
-1.1258e-01,-0.0004
-1.1256e-01,0.0008
-1.1254e-01,-0.0002
-1.1252e-01,0.0002
-1.1250e-01,0.0008
-1.1248e-01,-0.0002
-1.1246e-01,0.001
-1.1244e-01,0.0002
-1.1242e-01,0.0008
-1.1240e-01,0.0004
-1.1238e-01,0
-1.1236e-01,0.0006
-1.1234e-01,0
-1.1232e-01,0.0004
-1.1230e-01,0.0002
-1.1228e-01,0.0006
-1.1226e-01,0.0008
-1.1224e-01,-0.0002
-1.1222e-01,0.0006
-1.1220e-01,-0.0002
-1.1218e-01,0.0004
-1.1216e-01,0.0002
-1.1214e-01,0.0002
-1.1212e-01,0.0006
-1.1210e-01,-0.0002
-1.1208e-01,0.0008
-1.1206e-01,0.0002
-1.1204e-01,-0.0002
-1.1202e-01,0.0008
-1.1200e-01,-0.0002
-1.1198e-01,0.0008
-1.1196e-01,0
-1.1194e-01,0.0004
-1.1192e-01,0.0004
-1.1190e-01,0.0002
-1.1188e-01,0.0004
-1.1186e-01,0
-1.1184e-01,0.0004
-1.1182e-01,0.0002
-1.1180e-01,0.0004
-1.1178e-01,0.0004
-1.1176e-01,-0.0002
-1.1174e-01,0.0006
-1.1172e-01,-0.0002
-1.1170e-01,0.0008
-1.1168e-01,-0.0002
-1.1166e-01,0.0002
-1.1164e-01,0.0002
-1.1162e-01,-0.0002
-1.1160e-01,0.0008
-1.1158e-01,-0.0002
-1.1156e-01,0.0004
-1.1154e-01,0
-1.1152e-01,0.0004
-1.1150e-01,0.001
-1.1148e-01,-0.0006
-1.1146e-01,0.0006
-1.1144e-01,0
-1.1142e-01,0.0006
-1.1140e-01,0.0004
-1.1138e-01,0.0006
-1.1136e-01,0.0004
-1.1134e-01,-0.0002
-1.1132e-01,0.0008
-1.1130e-01,0.0002
-1.1128e-01,0.0006
-1.1126e-01,-0.0002
-1.1124e-01,0.0004
-1.1122e-01,0.0002
-1.1120e-01,0.0006
-1.1118e-01,0.0004
-1.1116e-01,-0.0002
-1.1114e-01,0.0008
-1.1112e-01,0.0002
-1.1110e-01,0.0012
-1.1108e-01,-0.0002
-1.1106e-01,0.0002
-1.1104e-01,0
-1.1102e-01,0
-1.1100e-01,-0.0002
-1.1098e-01,0
-1.1096e-01,0.0006
-1.1094e-01,0
-1.1092e-01,0.001
-1.1090e-01,-0.0002
-1.1088e-01,0.0006
-1.1086e-01,0
-1.1084e-01,0.001
-1.1082e-01,0
-1.1080e-01,0.0002
-1.1078e-01,0.0002
-1.1076e-01,0
-1.1074e-01,0.0006
-1.1072e-01,-0.0002
-1.1070e-01,0.0008
-1.1068e-01,-0.0006
-1.1066e-01,0.0008
-1.1064e-01,-0.0002
-1.1062e-01,0.0008
-1.1060e-01,-0.0002
-1.1058e-01,0.0004
-1.1056e-01,0.0002
-1.1054e-01,0.0002
-1.1052e-01,0.0006
-1.1050e-01,-0.0002
-1.1048e-01,0.001
-1.1046e-01,-0.0006
-1.1044e-01,0.0008
-1.1042e-01,-0.0002
-1.1040e-01,0.0008
-1.1038e-01,0
-1.1036e-01,0.0008
-1.1034e-01,0.0002
-1.1032e-01,0.0002
-1.1030e-01,0.0004
-1.1028e-01,0.0008
-1.1026e-01,0.0002
-1.1024e-01,-0.0004
-1.1022e-01,0.0006
-1.1020e-01,-0.0002
-1.1018e-01,0.0008
-1.1016e-01,0.0002
-1.1014e-01,0.0008
-1.1012e-01,-0.0002
-1.1010e-01,0.0004
-1.1008e-01,0.0002
